Name,City,Cuisine Style,Ranking,Rating,Number of Reviews,Reviews_WD,Reviews
La Meduse,Paris,"French, Seafood, European, Vegetarian Friendly, Gluten Free Options, Vegan Options",1,5,178,"You cant figure out from the outside the, Cosy little restaurant on the border of Ca, 12/23/2017, 12/23/2017","You cant figure out from the outside the, Cosy little restaurant on the border of Ca, "
Le Cappiello,Paris,"French, Mediterranean, European, Contemporary, Vegetarian Friendly, Vegan Options, Gluten Free Options",2,5,208,"Incredible, Amazing food, wonderful atmosphere, 01/02/2018, 01/01/2018","Incredible, Amazing food, wonderful atmosphere, "
ASPIC,Paris,"French, European, Contemporary",3,5,427,"Second time and just as good, Best dinner in Paris by far, 01/06/2018, 01/03/2018","Second time and just as good, Best dinner in Paris by far, "
Les Apotres de Pigalle,Paris,"South American, Brew Pub, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",4,5,1152,"Wonderful culinary experience, Must go restaurant in Paris, 01/04/2018, 01/01/2018","Wonderful culinary experience, Must go restaurant in Paris, "
Epicure,Paris,"French, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",5,5,2305,"Very nice place, Speechless, 01/08/2018, 01/07/2018","Very nice place, Speechless, "
Sourire Le Restaurant,Paris,"French, European, Contemporary, Gastropub",6,5,198,"Great service, Just excellent, 01/06/2018, 01/02/2018","Great service, Just excellent, "
Le Cinq,Paris,"French, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",7,45,1887,"Breath taking ambience and great service, Grande Birthday Celebration, 01/07/2018, 01/01/2018","Breath taking ambience and great service, Grande Birthday Celebration, "
Il Etait Un Square,Paris,"French, Steakhouse, Vegetarian Friendly",8,5,1600,"Excellent dining experience, Great burgers, 01/08/2018, 01/05/2018","Excellent dining experience, Great burgers, "
Boutary,Paris,"French, Seafood, Gastropub, European, Fusion, Vegetarian Friendly, Gluten Free Options",9,5,533,"They will get the star for 2 reasons, A fantastic anniversary dinner, 01/01/2018, 12/28/2017","They will get the star for 2 reasons, A fantastic anniversary dinner, "
Kei Restaurant,Paris,"French, Vegetarian Friendly, Gluten Free Options",10,45,689,"Amazing, Magnifique, 12/23/2017, 12/12/2017","Amazing, Magnifique, "
Le Gabriel,Paris,"French, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",11,45,338,"Perfect Parisian dining for anniversary, Fabulous Dining, 01/06/2018, 01/03/2018","Perfect Parisian dining for anniversary, Fabulous Dining, "
Bateau le Calife,Paris,"French, European, Vegetarian Friendly, Vegan Options",12,45,2154,"Perfect Christmas Eve, Excellent, 01/03/2018, 01/01/2018","Perfect Christmas Eve, Excellent, "
LAffineur Affine,Paris,"French, European, Vegetarian Friendly",13,45,752,"Awesome place, Delicious, 12/28/2017, 12/09/2017","Awesome place, Delicious, "
La Bonne Excuse,Paris,"French, European, Vegetarian Friendly, Gluten Free Options",14,45,662,"Delicious meal charming restaurant, Superb Meal, 12/30/2017, 12/26/2017","Delicious meal charming restaurant, Superb Meal, "
Pur - Jean-Francois Rouquette,Paris,"French, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",15,45,841,"Excellent, Unforgettable experience in a sumptuous re, 01/08/2018, 01/03/2018","Excellent, Unforgettable experience in a sumptuous re, "
LAbeille,Paris,"French, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",16,45,410,"Perfect, Elegant Restaurant, 01/08/2018, 01/06/2018","Perfect, Elegant Restaurant, "
Alliance,Paris,"French, Vegetarian Friendly, Vegan Options, Gluten Free Options",17,5,267,"Superb as usual, Perfect, 12/29/2017, 12/02/2017","Superb as usual, Perfect, "
Sacree fleur,Paris,"French, Steakhouse, European",18,45,2471,"Love this place, Excellent, 01/07/2018, 01/06/2018","Love this place, Excellent, "
Le 114 Faubourg,Paris,"French, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",19,45,1386,"Incredible food and service, Outstanding lunch, 01/07/2018, 01/06/2018","Incredible food and service, Outstanding lunch, "
Restaurant H,Paris,"French, European, Vegetarian Friendly, Gluten Free Options",20,5,264,"Outstanding meal - both innovative and cla, Experience, 01/06/2018, 12/21/2017","Outstanding meal - both innovative and cla, Experience, "
Restaurant LINITIAL,Paris,"French, European",21,45,295,"Haute cuisine without the fuss, Wonderful Dinner, 12/31/2017, 12/17/2017","Haute cuisine without the fuss, Wonderful Dinner, "
Pierre Gagnaire,Paris,"French, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",22,45,805,"Good not great, The name says it all, 12/31/2017, 12/19/2017","Good not great, The name says it all, "
Etude,Paris,"French, Vegetarian Friendly, Vegan Options, Gluten Free Options",23,45,268,"Sofisticated Experience, Amazing, 01/05/2018, 12/06/2017","Sofisticated Experience, Amazing, "
Le Bistrot dIndochine,Paris,"Asian, Vietnamese, Vegetarian Friendly, Vegan Options",24,45,310,"Just fantastic, Good Vietnamese food with some smaller tab, 10/31/2017, 06/27/2017","Just fantastic, Good Vietnamese food with some smaller tab, "
Bar Italia Brasserie,Paris,"Italian, Vegetarian Friendly, Vegan Options",25,45,915,"Xmas party good music and atmosphere, Italian dream come true , 12/15/2017, 12/12/2017","Xmas party good music and atmosphere, Italian dream come true , "
Le Bistrot dYves,Paris,"French, European, Vegetarian Friendly",26,45,284,"Good value premium dining, Wow wow wow Fabulous Bistro, 12/25/2017, 12/22/2017","Good value premium dining, Wow wow wow Fabulous Bistro, "
Flesh Restaurant et Canal Saint Martin,Paris,"Barbecue, American, Steakhouse, European, French, Gluten Free Options",27,45,206,"delightful food, Bold meaty flavoursome goodness, 01/07/2018, 01/05/2018","delightful food, Bold meaty flavoursome goodness, "
Paris Picnic,Paris,"French, European, Street Food, Vegetarian Friendly, Gluten Free Options, Vegan Options",28,45,451,"Perfect for a large group, Paris Romanticism At Its Best, 10/04/2017, 09/12/2017","Perfect for a large group, Paris Romanticism At Its Best, "
New Jawad Longchamp,Paris,"Indian, Pakistani, Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",29,45,291,"Very delicious indian food for a good pric, PERFECT EVENING, 01/08/2018, 01/06/2018","Very delicious indian food for a good pric, PERFECT EVENING, "
Fromagerie Danard,Paris,"Wine Bar, French, European, Vegetarian Friendly, Gluten Free Options",30,45,561,"Cheese Heaven, Smile, 12/29/2017, 12/26/2017","Cheese Heaven, Smile, "
Le Clos Y,Paris,"French, Japanese, European, Asian, Vegetarian Friendly",31,45,400,"Really wonderful, Gastronomic experience at a Japanese-Frenc, 12/26/2017, 12/24/2017","Really wonderful, Gastronomic experience at a Japanese-Frenc, "
AlKaram,Paris,"Lebanese, Mediterranean, Middle Eastern, Vegetarian Friendly, Vegan Options, Gluten Free Options",32,45,548,"Very good for either a quick or a full mea, It was my Birthday there, 12/23/2017, 12/22/2017","Very good for either a quick or a full mea, It was my Birthday there, "
Cezembre,Paris,"French, European",33,45,439,"The Best Office Christmas Party EVER, Fantastic, 12/18/2017, 12/14/2017","The Best Office Christmas Party EVER, Fantastic, "
Le George,Paris,"Mediterranean, Italian, French, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",34,45,283,"Very good, but, Best restuarant in Paris, 12/02/2017, 11/29/2017","Very good, but, Best restuarant in Paris, "
Sebon,Paris,"French, European",35,45,940,"One of my favourite places in Paris, Mouth orgasm, 01/05/2018, 01/04/2018","One of my favourite places in Paris, Mouth orgasm, "
Petite Fleur,Paris,"French, European",36,45,140,"Perfect, just its not easy for make reser, Lovely discovery, 01/05/2018, 01/04/2018","Perfect, just its not easy for make reser, Lovely discovery, "
La boite aux lettres,Paris,"French, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",37,45,500,"Lovely place in Montmartre, Excellent food and Personal Service, 12/21/2017, 11/30/2017","Lovely place in Montmartre, Excellent food and Personal Service, "
LEnvie du jour,Paris,"French, European, Vegetarian Friendly, Vegan Options",38,45,371,"A little away from the tourist circuit, Explosions in your mouth, 12/29/2017, 12/10/2017","A little away from the tourist circuit, Explosions in your mouth, "
Pedzouille,Paris,"French, European",39,45,293,"Great cosy place, Super yummy and chilled, 12/12/2017, 12/09/2017","Great cosy place, Super yummy and chilled, "
Le Taillevent,Paris,"French, European",40,45,821,"Excellent, 2 star experience, 01/03/2018, 12/16/2017","Excellent, 2 star experience, "
PerBacco,Paris,"Italian, Pizza, Mediterranean, Wine Bar, European, Vegetarian Friendly, Vegan Options",41,5,105,"Ecellent pizzas and salad, Lovely typical italien pizza restaurant, 01/06/2018, 12/06/2017","Ecellent pizzas and salad, Lovely typical italien pizza restaurant, "
Ristorante Lo Spaghettino,Paris,"Italian, Mediterranean, European, Vegetarian Friendly, Vegan Options",42,45,461,"Great atmosphere, Very good, 12/12/2017, 11/21/2017","Great atmosphere, Very good, "
La Trattoria Dellisola,Paris,"Italian, Pizza, Seafood, Vegetarian Friendly",43,45,460,"Nice place, Excellent beautiful and all the other love, 10/30/2017, 10/26/2017","Nice place, Excellent beautiful and all the other love, "
